review,features,product,review_cleaned
"i 've had no problems . 
apex the apex 2600 has been a steady performer for me . 
player i bought mine in december of 2003 , and have had no real problems with it . 
heat it does tend to run quite hot and should be given lots of room for air circulation . 
smell it did also seem to have a strong "" new electronics "" smell for some time . 
freezing the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with "" canned air . "" this problem vanished after the first month , so i assume it was a temporary dust issue . the two main reasons i had for getting this model were the range of disks types played and the recommendation of a friend . 
player ( he had owned two apex dvd players , and was pleased with both of them . ) 
jpeg slideshow,mpeg1 the fact that this model would play jpeg slideshows was a big plus for me as a visual artist , and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting . 
remote the remote is okay , but i am not a fan of remotes with tiny buttons . 
button i especially like the more commonly used buttons , such as play , pause , and stop , to be larger and conveniently placed . while it is true that it will stand on end , it is also easy to knock over that way . 
zoom mode i also did n't like the way it displayed information way down into the screen when you are in zoom mode . 
zoom the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . 
onscreen display having spent considerable time with professional video gear , i find onscreen displays annoying . i have not used the progressive scan feature . this model has come down in price since i purchased mine . while it seems like some people have had trouble with theirs , mine has run well , and i would recommend it if you are considering a dvd player purchase . any possible problems should be weighed against the bang-for-the-buck factor , along with the fact that companies like apex seldom have good after-sale support . 
player while i would like to give it 3.5 stars instead of 4 , i gave it a 4 because it has run well for me during the time i have owned it .","[{'feature': 'apex', 'polarity': 1, 'strength': 2}, {'feature': 'player', 'polarity': 1, 'strength': 1}, {'feature': 'heat', 'polarity': -1, 'strength': 1}, {'feature': 'smell', 'polarity': -1, 'strength': 2}, {'feature': 'freezing', 'polarity': -1, 'strength': 1}, {'feature': 'player', 'polarity': 1, 'strength': 2}, {'feature': 'slideshow', 'polarity': 1, 'strength': 2}, {'feature': 'mpeg1', 'polarity': 1, 'strength': 1}, {'feature': 'remote', 'polarity': -1, 'strength': 1}, {'feature': 'button', 'polarity': -1, 'strength': 2}, {'feature': 'mode', 'polarity': -1, 'strength': 2}, {'feature': 'zoom', 'polarity': -1, 'strength': 2}, {'feature': 'display', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': 1, 'strength': 2}]",Apex DVD,problem apex apex 2600 steady performer player bought mine december 2003 real problem heat tend run quite hot given lot room air circulation smell also seem strong new electronics smell time freezing thing experience problem player freezing playing able clear opening blowing canned air problem vanished first month assume temporary dust issue two main reason getting model range disk type played recommendation friend player owned two apex dvd player pleased jpeg slideshowmpeg1 fact model would play jpeg slideshows big plus visual artist discovered accident mentioned anywhere literature play mpeg1 file regular cdr data disk without vcd formatting remote remote okay fan remote tiny button button especially like commonly used button play pause stop larger conveniently placed true stand end also easy knock way zoom mode also nt like way displayed information way screen zoom mode zoom zoom go magnification nice always display zoom size onequarter way top screen interferes viewing setting onscreen display spent considerable time professional video gear find onscreen display annoying used progressive scan feature model come price since purchased mine seems like people trouble mine run well would recommend considering dvd player purchase possible problem weighed bangforthebuck factor along fact company like apex seldom good aftersale support player would like give 35 star instead 4 gave 4 run well time owned
"do not buy this piece of junk . i purchased this unit 3 months back and i think the unit knew when my warrenty expires . 
picture, player it is more than 90 days and it does not show the picture no matter what i do . i can only hear the sound . i changed video cables , tried connecting to tv on input1 and input2 but no help . i think you get what you pay for stands true .","[{'feature': 'picture', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 3}]",Apex DVD,buy piece junk purchased unit 3 month back think unit knew warrenty expires picture player 90 day show picture matter hear sound changed video cable tried connecting tv input1 input2 help think get pay stand true
"nice paperweight . 
player i have had this player for 3 months and have been able to see a total of 6 dvd 's , after the frustration and aggrivation of getting the player to do it 's job . 
customer service i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked . as i emailed to the the customer service department , the only thing this player has done consistantly is use enought electricity to keep the red led burning . do yourself a favor and save your money to get something of better quality , or at least works .","[{'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'service', 'polarity': -1, 'strength': 3}]",Apex DVD,nice paperweight player player 3 month able see total 6 dvd frustration aggrivation getting player job customer service tried many time get hold apex nt seem answer email telephone number constantly busy believe one lonely customer service rep probably extremely overworked emailed customer service department thing player done consistantly use enought electricity keep red led burning favor save money get something better quality least work
"worst piece of electronics i ever bought . if i could give this a negative rating , i would . i am surprised amazon still carries this after all of the continued problems . 
play, disc wo n't play a lot of discs . i can only confirm what other customers have said - crap ! 
play some movies it played yesterday , it wo n't play today . 
play it wo n't play 80 % of my movies , which are all store boughten . 
tech support tech support from apex is literally - nonexistent . amazon , do your customers a big favor , do n't carry this item , and give them refunds ! there should have been a recall on this product . fair warning - do not buy . i repeat - do n't wast your money .","[{'feature': 'play', 'polarity': -1, 'strength': 2}, {'feature': 'disc', 'polarity': -1, 'strength': 2}, {'feature': 'play', 'polarity': -1, 'strength': 2}, {'feature': 'play', 'polarity': -1, 'strength': 2}, {'feature': 'support', 'polarity': -1, 'strength': 3}]",Apex DVD,worst piece electronics ever bought could give negative rating would surprised amazon still carry continued problem play disc wo nt play lot disc confirm customer said crap play movie played yesterday wo nt play today play wo nt play 80 movie store boughten tech support tech support apex literally nonexistent amazon customer big favor nt carry item give refund recall product fair warning buy repeat nt wast money
"do n't buy ! 
player i bought 2 of this model for christmas presents and neither one of them work ! 
dvd player it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working . one stopped working in february and the other in march . amazon has been working with me to refund my money , but they reminded me that i have past the 30 day return policy and this was a courtesy return . i have had great experience with amazon , but i will probably not buy electronics any more from them to avoid any future return problems .","[{'feature': 'player', 'polarity': -1, 'strength': 3}, {'feature': 'player', 'polarity': -1, 'strength': 3}]",Apex DVD,nt buy player bought 2 model christmas present neither one work dvd player embarassing getting phone call family member telling dvd player gave less 3 month ago longer working one stopped working february march amazon working refund money reminded past 30 day return policy courtesy return great experience amazon probably buy electronics avoid future return problem
"we had problems . 
dvd player the dvd player does not work properly . 
player the player usually plays dvd 's , but has occasional problems such as : 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd . 
player this has happened with several different dvd 's and occasionally if we keep trying something , it will work when it did not work one time before . 
customer support after we discovered the problems , we tried to contact apex ( fkor 3 months ) , but we never got in touch with them.the customer support telephone number is always busy , and they do not answer their web customer support .","[{'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 3}, {'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'support', 'polarity': -1, 'strength': 3}]",Apex DVD,problem dvd player dvd player work properly player player usually play dvd occasional problem 1 recognizing dvd 2 stopping particular point movie every time played 3 able access certain special feature rental dvd player happened several different dvd occasionally keep trying something work work one time customer support discovered problem tried contact apex fkor 3 month never got touch themthe customer support telephone number always busy answer web customer support
"ok if you have a 2nd dvd player . i have had this dvd player for about 3 months now . 
player nothing has broken on it , and it plays all the dvds i have . 
play, dvd unfortunately it can 't play all of the dvd . i have several tv shows on dvd so they are divided by episode . 
dvd on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd . luckily i also have a ps2 which can play those episodes the player can 't . 
player unfortunately i bought a player because the ps2 could n't play all my dvds , and now the player can 't play everything .","[{'feature': 'player', 'polarity': 1, 'strength': 2}, {'feature': 'play', 'polarity': -1, 'strength': 2}, {'feature': 'dvd', 'polarity': -1, 'strength': 2}, {'feature': 'dvd', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 2}]",Apex DVD,ok 2nd dvd player dvd player 3 month player nothing broken play dvd play dvd unfortunately play dvd several tv show dvd divided episode dvd 2 dvd far refuse play certain episode problem others dvd luckily also ps2 play episode player player unfortunately bought player ps2 could nt play dvd player play everything
"another person who had problem with picture after one use . i purchased this as a christmas gift for my husband . 
work we tried it out christmas night and it worked great . 
jpeg even viewed cds full of jpgs . we did n't get to use it again for over a month ( sad , i know ) . 
picture, player but when we went to use it again , there was sound but no picture . we saw reviews that said the same thing , and also saw here that their customer service stinks . though we were past the deadline for returns ( by a few days ) , i contacted amazon right away and pleaded for help . they authorized my late return , and hopefully they are giving apex heck . 
apex i hate apex but love amazon , and i tell everyone . do not buy this player . 
player who knows how many uses you 'll get out of it before it craps out , but it probably will .","[{'feature': 'work', 'polarity': 1, 'strength': 2}, {'feature': 'jpeg', 'polarity': 1, 'strength': 2}, {'feature': 'picture', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'apex', 'polarity': -1, 'strength': 3}, {'feature': 'player', 'polarity': -1, 'strength': 3}]",Apex DVD,another person problem picture one use purchased christmas gift husband work tried christmas night worked great jpeg even viewed cd full jpgs nt get use month sad know picture player went use sound picture saw review said thing also saw customer service stink though past deadline return day contacted amazon right away pleaded help authorized late return hopefully giving apex heck apex hate apex love amazon tell everyone buy player player know many us get crap probably
"frustrating just hope you never lose / break the remote for this player ! 
remote we 've purchased 3 universal remotes so far-all claiming to work "" apex "" dvd players and none worked . called customer service and basically was told to either keep buying univ. remotes to try or buy the replacement remote for $ 23 ( which is almost half of what i paid for the whole player ) . if anybody knows of a remote to work this-i 'd love to hear from you ! 
dvd, play ( on here of course ) also , a couple dvd 's would n't play and they were new ones !","[{'feature': 'remote', 'polarity': -1, 'strength': 2}, {'feature': 'dvd', 'polarity': -1, 'strength': 2}, {'feature': 'play', 'polarity': -1, 'strength': 2}]",Apex DVD,frustrating hope never lose break remote player remote purchased 3 universal remote farall claiming work apex dvd player none worked called customer service basically told either keep buying univ remote try buy replacement remote 23 almost half paid whole player anybody know remote work thisi love hear dvd play course also couple dvd would nt play new one
"poor customer service . 
remote i had to return the remote on this product because it appeared to be defective . it took over 2 months and repeated follow-up to get it replaced . 
customer service the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line . 
apex i would not be inclined to purchase an apex product again .","[{'feature': 'remote', 'polarity': -1, 'strength': 2}, {'feature': 'service', 'polarity': -1, 'strength': 3}, {'feature': 'apex', 'polarity': -1, 'strength': 3}]",Apex DVD,poor customer service remote return remote product appeared defective took 2 month repeated followup get replaced customer service customer service dept list toll free number real hassle get regular line apex would inclined purchase apex product
"a piece of junk . 
door door broke after a month . 
unit unit took forever since the begiining to recognize and play discs . 
player 3 months of use and it no longer recognizes anything . forget about it . it 's money down the drain . get cheaper panasonics or toshibas or even sonys .","[{'feature': 'door', 'polarity': -1, 'strength': 2}, {'feature': 'unit', 'polarity': -1, 'strength': 3}, {'feature': 'player', 'polarity': -1, 'strength': 2}]",Apex DVD,piece junk door door broke month unit unit took forever since begiining recognize play disc player 3 month use longer recognizes anything forget money drain get cheaper panasonics toshibas even sonys
"to quote bart : "" craptacular "" . 
player well , it was nice while it lasted . 
player after @ 3 months , it stoppped playing higher number scenes on dvds . 
player as an engineer , i am embarrassed for the engineering profession when such crap is released for sale .","[{'feature': 'player', 'polarity': 1, 'strength': 1}, {'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 3}]",Apex DVD,quote bart craptacular player well nice lasted player 3 month stoppped playing higher number scene dvd player engineer embarrassed engineering profession crap released sale
"poor quality . 
player only used for 3 month before it 's down ! i had hoped this was bought from walmart so that i could return it ! 
picture it sends discoutinous signals to tv , so the tv has the pictures for one moment and has only the white noise for the other moment . 
color the other thing i do n't like about this 2600 is that it makes the color look over saturated . maybe it 's good for tvs with not so good color settings , but not good for my tv that already has very vibrant pictures .","[{'feature': 'player', 'polarity': -1, 'strength': 3}, {'feature': 'picture', 'polarity': -1, 'strength': 2}, {'feature': 'color', 'polarity': -1, 'strength': 2}]",Apex DVD,poor quality player used 3 month hoped bought walmart could return picture sends discoutinous signal tv tv picture one moment white noise moment color thing nt like 2600 make color look saturated maybe good tv good color setting good tv already vibrant picture
"returned after failing to play dvds . i purchased the ad2600 after feeling comfortable with the reviews i read here on amazon . as soon as i lifted the unit out of the box , i questioned my judgement . 
unit the entire unit was poorly crafted . 
screw tip there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board . 
dvd, play after hooking the thing up , i found that it would only played less than 50 % of the dvds i put in it . most of the dvds i was trying were fairly new and were in great condition . 
player the dvd player just would't recognize them . 
no disc it would spin , read , spin some more and then show on the display that there was no disc . i ended up sending the unit back to amazon .","[{'feature': 'unit', 'polarity': -1, 'strength': 2}, {'feature': 'tip', 'polarity': -1, 'strength': 2}, {'feature': 'dvd', 'polarity': -1, 'strength': 2}, {'feature': 'play', 'polarity': -1, 'strength': 2}, {'feature': 'player', 'polarity': -1, 'strength': 2}, {'feature': 'disc', 'polarity': -1, 'strength': 2}]",Apex DVD,returned failing play dvd purchased ad2600 feeling comfortable review read amazon soon lifted unit box questioned judgement unit entire unit poorly crafted screw tip sharp screw tip underside unit coming inside obviously used anchor internal control board dvd play hooking thing found would played less 50 dvd put dvd trying fairly new great condition player dvd player wouldt recognize disc would spin read spin show display disc ended sending unit back amazon
"apex ad2600 . 
format,progressive scan this dvd player plays raw mpeg2 and mpeg1 videos , jpeg , wma , cdr / cdrw / dvdr / dvdrw , and of course plays dvd movies from uk. i love the aiff , progressive scan feature . now it would have gotten 5 stars had this baby come with features to upgrade the firmware and was able to play divx or avi videos . but for $ 49.99 go get one ! features and looks this dvd player is overpriced had it come with sony or one of the other top brand names .","[{'feature': 'format', 'polarity': 1, 'strength': 2}, {'feature': 'scan', 'polarity': 1, 'strength': 2}]",Apex DVD,apex ad2600 formatprogressive scan dvd player play raw mpeg2 mpeg1 video jpeg wma cdr cdrw dvdr dvdrw course play dvd movie uk love aiff progressive scan feature would gotten 5 star baby come feature upgrade firmware able play divx avi video 4999 go get one feature look dvd player overpriced come sony one top brand name
"customer service nonexistant . 
player i have not even used my new dvd player and already i am disapointed ! i have been trying for over a week to contact apex . 
customer service they will not respond to my emails ( promised turnaround time is 24 hours ) and the phone line is constantly busy . all i am looking for is a rebate form !","[{'feature': 'player', 'polarity': -1, 'strength': 3}, {'feature': 'service', 'polarity': -1, 'strength': 3}]",Apex DVD,customer service nonexistant player even used new dvd player already disapointed trying week contact apex customer service respond email promised turnaround time 24 hour phone line constantly busy looking rebate form
"what a buy .. . i accually did n't buy the apex ad-2600 from amazon but , the reviews i found here helped me purchase it . i have owned an apex ad-3201 for close to 3 years now and i love that deck . 
feature because of it 's hidden features ( no macrovision , non-regional ) i keep this baby around to watch non-american region dvd 's . however , the ad-2600 does n't have this feature ( for now ) . 
play, different file the cool thing about the ad-2600 it plays alot of different file like mp3 , wma cds , jpeg and kodak picture cds , dvd 's , dvd - / + r 's . 
play, mpeg it 's not a listed feature but , the one thing that sold the unit is that it plays mpeg video . 
mpeg i find this to be a great feature . 
play i 've tried playing all of these discs and they all play great . 
feature for the money apex machines have good features . you can 't find the mpeg playback on high priced units . 
design it 's low profile , space saving design looks nice . 
player i find the apex ad-2600 to be a great buy .","[{'feature': 'feature', 'polarity': 1, 'strength': 2}, {'feature': 'play', 'polarity': 1, 'strength': 2}, {'feature': 'file', 'polarity': 1, 'strength': 2}, {'feature': 'play', 'polarity': 1, 'strength': 2}, {'feature': 'mpeg', 'polarity': 1, 'strength': 2}, {'feature': 'mpeg', 'polarity': 1, 'strength': 2}, {'feature': 'play', 'polarity': 1, 'strength': 2}, {'feature': 'feature', 'polarity': 1, 'strength': 2}, {'feature': 'design', 'polarity': 1, 'strength': 2}, {'feature': 'player', 'polarity': 1, 'strength': 2}]",Apex DVD,buy accually nt buy apex ad2600 amazon review found helped purchase owned apex ad3201 close 3 year love deck feature hidden feature macrovision nonregional keep baby around watch nonamerican region dvd however ad2600 nt feature play different file cool thing ad2600 play alot different file like mp3 wma cd jpeg kodak picture cd dvd dvd r play mpeg listed feature one thing sold unit play mpeg video mpeg find great feature play tried playing disc play great feature money apex machine good feature find mpeg playback high priced unit design low profile space saving design look nice player find apex ad2600 great buy
